plots:	304
in region:	Exploratories

1. plot:	AEG01
category:	Schwäbische Alb Grünland
Latitude:	48.3980050128
Longitude:	9.3419867529

2. plot:	AEG02
category:	Schwäbische Alb Grünland
Latitude:	48.3768572731
Longitude:	9.4727841247

3. plot:	AEG03
category:	Schwäbische Alb Grünland
Latitude:	48.4088814832
Longitude:	9.5323787503

4. plot:	AEG04
category:	Schwäbische Alb Grünland
Latitude:	48.3808884549
Longitude:	9.4188891246

5. plot:	AEG05
category:	Schwäbische Alb Grünland
Latitude:	48.3958758627
Longitude:	9.4392007081

6. plot:	AEG06
category:	Schwäbische Alb Grünland
Latitude:	48.401262153
Longitude:	9.4416781078

7. plot:	AEG07
category:	Schwäbische Alb Grünland
Latitude:	48.3914209811
Longitude:	9.3768471301

8. plot:	AEG08
category:	Schwäbische Alb Grünland
Latitude:	48.4226402847
Longitude:	9.4921245872

9. plot:	AEG09
category:	Schwäbische Alb Grünland
Latitude:	48.3946709269
Longitude:	9.5027923796

10. plot:	AEG10
category:	Schwäbische Alb Grünland
Latitude:	48.3787128703
Longitude:	9.2126008478

11. plot:	AEG11
category:	Schwäbische Alb Grünland
Latitude:	48.4853987987
Longitude:	9.3477155235

12. plot:	AEG12
category:	Schwäbische Alb Grünland
Latitude:	48.3891220871
Longitude:	9.3502309279

13. plot:	AEG13
category:	Schwäbische Alb Grünland
Latitude:	48.3916479693
Longitude:	9.3621982699

14. plot:	AEG14
category:	Schwäbische Alb Grünland
Latitude:	48.3757600015
Longitude:	9.5186692771

15. plot:	AEG15
category:	Schwäbische Alb Grünland
Latitude:	48.487881799
Longitude:	9.4486539191

16. plot:	AEG16
category:	Schwäbische Alb Grünland
Latitude:	48.40210764
Longitude:	9.4554611349

17. plot:	AEG17
category:	Schwäbische Alb Grünland
Latitude:	48.3993230386
Longitude:	9.5183688727

18. plot:	AEG18
category:	Schwäbische Alb Grünland
Latitude:	48.3829418675
Longitude:	9.5214424368

19. plot:	AEG19
category:	Schwäbische Alb Grünland
Latitude:	48.39764314
Longitude:	9.4473185834

20. plot:	AEG20
category:	Schwäbische Alb Grünland
Latitude:	48.4895088831
Longitude:	9.3564020806

21. plot:	AEG21
category:	Schwäbische Alb Grünland
Latitude:	48.4422038842
Longitude:	9.3572193006

22. plot:	AEG22
category:	Schwäbische Alb Grünland
Latitude:	48.4043813138
Longitude:	9.5134230403

23. plot:	AEG23
category:	Schwäbische Alb Grünland
Latitude:	48.4189546956
Longitude:	9.512354055

24. plot:	AEG24
category:	Schwäbische Alb Grünland
Latitude:	48.3964648774
Longitude:	9.4934922481

25. plot:	AEG25
category:	Schwäbische Alb Grünland
Latitude:	48.3954780011
Longitude:	9.2595965836

26. plot:	AEG26
category:	Schwäbische Alb Grünland
Latitude:	48.3951061598
Longitude:	9.4038818301

27. plot:	AEG27
category:	Schwäbische Alb Grünland
Latitude:	48.4191396371
Longitude:	9.4799316588

28. plot:	AEG28
category:	Schwäbische Alb Grünland
Latitude:	48.4620734674
Longitude:	9.492303341

29. plot:	AEG29
category:	Schwäbische Alb Grünland
Latitude:	48.4168404068
Longitude:	9.358324659

30. plot:	AEG30
category:	Schwäbische Alb Grünland
Latitude:	48.4562378064
Longitude:	9.4572977908

31. plot:	AEG31
category:	Schwäbische Alb Grünland
Latitude:	48.4587449338
Longitude:	9.4600244612

32. plot:	AEG32
category:	Schwäbische Alb Grünland
Latitude:	48.4658332639
Longitude:	9.485781341

33. plot:	AEG33
category:	Schwäbische Alb Grünland
Latitude:	48.4514222421
Longitude:	9.4910511483

34. plot:	AEG34
category:	Schwäbische Alb Grünland
Latitude:	48.4558776829
Longitude:	9.5005580665

35. plot:	AEG35
category:	Schwäbische Alb Grünland
Latitude:	48.4808866615
Longitude:	9.2884387238

36. plot:	AEG36
category:	Schwäbische Alb Grünland
Latitude:	48.4781611668
Longitude:	9.2992438253

37. plot:	AEG37
category:	Schwäbische Alb Grünland
Latitude:	48.3961509361
Longitude:	9.4135454726

38. plot:	AEG38
category:	Schwäbische Alb Grünland
Latitude:	48.4395441364
Longitude:	9.4252511339

39. plot:	AEG39
category:	Schwäbische Alb Grünland
Latitude:	48.3942180774
Longitude:	9.4256829259

40. plot:	AEG40
category:	Schwäbische Alb Grünland
Latitude:	48.4097972087
Longitude:	9.5665626636

41. plot:	AEG41
category:	Schwäbische Alb Grünland
Latitude:	48.3699446079
Longitude:	9.3984861338

42. plot:	AEG42
category:	Schwäbische Alb Grünland
Latitude:	48.3979885716
Longitude:	9.3760179249

43. plot:	AEG43
category:	Schwäbische Alb Grünland
Latitude:	48.4134228471
Longitude:	9.5420173244

44. plot:	AEG44
category:	Schwäbische Alb Grünland
Latitude:	48.3779957932
Longitude:	9.4349969019

45. plot:	AEG45
category:	Schwäbische Alb Grünland
Latitude:	48.4013333334
Longitude:	9.4579527081

46. plot:	AEG46
category:	Schwäbische Alb Grünland
Latitude:	48.3969714231
Longitude:	9.4348888005

47. plot:	AEG47
category:	Schwäbische Alb Grünland
Latitude:	48.4192307705
Longitude:	9.446157209

48. plot:	AEG48
category:	Schwäbische Alb Grünland
Latitude:	48.4218476697
Longitude:	9.4986696758

49. plot:	AEG49
category:	Schwäbische Alb Grünland
Latitude:	48.4567591994
Longitude:	9.5046227699

50. plot:	AEG50
category:	Schwäbische Alb Grünland
Latitude:	48.4056558727
Longitude:	9.4676487349

51. plot:	AET06
category:	Schwäbische Alb Wald

52. plot:	AEW01
category:	Schwäbische Alb Wald
Latitude:	48.478073165
Longitude:	9.334410162

53. plot:	AEW02
category:	Schwäbische Alb Wald
Latitude:	48.3799904765
Longitude:	9.3514506421

54. plot:	AEW03
category:	Schwäbische Alb Wald
Latitude:	48.4122625017
Longitude:	9.355590784

55. plot:	AEW04
category:	Schwäbische Alb Wald
Latitude:	48.3990986481
Longitude:	9.2448273429

56. plot:	AEW05
category:	Schwäbische Alb Wald
Latitude:	48.4196184682
Longitude:	9.4146817957

57. plot:	AEW06
category:	Schwäbische Alb Wald
Latitude:	48.3940513182
Longitude:	9.4459367075

58. plot:	AEW07
category:	Schwäbische Alb Wald
Latitude:	48.3962384103
Longitude:	9.2613559815

59. plot:	AEW08
category:	Schwäbische Alb Wald
Latitude:	48.3825895508
Longitude:	9.3823844929

60. plot:	AEW09
category:	Schwäbische Alb Wald
Latitude:	48.3693457637
Longitude:	9.4152176233

61. plot:	AEW10
category:	Schwäbische Alb Wald
Latitude:	48.3777869241
Longitude:	9.3931477757

62. plot:	AEW11
category:	Schwäbische Alb Wald
Latitude:	48.4915951512
Longitude:	9.3197522888

63. plot:	AEW12
category:	Schwäbische Alb Wald
Latitude:	48.3694616359
Longitude:	9.2513658515

64. plot:	AEW13
category:	Schwäbische Alb Wald
Latitude:	48.3789099752
Longitude:	9.3986777067

65. plot:	AEW14
category:	Schwäbische Alb Wald
Latitude:	48.3755620401
Longitude:	9.337759582

66. plot:	AEW15
category:	Schwäbische Alb Wald
Latitude:	48.3894672795
Longitude:	9.4065105777

67. plot:	AEW16
category:	Schwäbische Alb Wald
Latitude:	48.3861424622
Longitude:	9.4446523886

68. plot:	AEW17
category:	Schwäbische Alb Wald
Latitude:	48.3964586199
Longitude:	9.2429915954

69. plot:	AEW18
category:	Schwäbische Alb Wald
Latitude:	48.36500227
Longitude:	9.2337993934

70. plot:	AEW19
category:	Schwäbische Alb Wald
Latitude:	48.4842445665
Longitude:	9.3111837565

71. plot:	AEW20
category:	Schwäbische Alb Wald
Latitude:	48.3701037561
Longitude:	9.3187195033

72. plot:	AEW21
category:	Schwäbische Alb Wald
Latitude:	48.4843968668
Longitude:	9.3211949623

73. plot:	AEW22
category:	Schwäbische Alb Wald
Latitude:	48.3823072372
Longitude:	9.4526381407

74. plot:	AEW23
category:	Schwäbische Alb Wald
Latitude:	48.3858317363
Longitude:	9.4879752912

75. plot:	AEW24
category:	Schwäbische Alb Wald
Latitude:	48.4789820525
Longitude:	9.2947850994

76. plot:	AEW25
category:	Schwäbische Alb Wald
Latitude:	48.475891201
Longitude:	9.4209567168

77. plot:	AEW26
category:	Schwäbische Alb Wald
Latitude:	48.417462913
Longitude:	9.4381710237

78. plot:	AEW27
category:	Schwäbische Alb Wald
Latitude:	48.4002326117
Longitude:	9.4743515014

79. plot:	AEW28
category:	Schwäbische Alb Wald
Latitude:	48.4923546666
Longitude:	9.3050099068

80. plot:	AEW29
category:	Schwäbische Alb Wald
Latitude:	48.3836617112
Longitude:	9.3566062224

81. plot:	AEW30
category:	Schwäbische Alb Wald
Latitude:	48.3727333655
Longitude:	9.3713773469

82. plot:	AEW31
category:	Schwäbische Alb Wald
Latitude:	48.3811404452
Longitude:	9.2568234938

83. plot:	AEW32
category:	Schwäbische Alb Wald
Latitude:	48.4105199182
Longitude:	9.3663848487

84. plot:	AEW33
category:	Schwäbische Alb Wald
Latitude:	48.3911719491
Longitude:	9.490470405

85. plot:	AEW34
category:	Schwäbische Alb Wald
Latitude:	48.3911487688
Longitude:	9.4958712598

86. plot:	AEW35
category:	Schwäbische Alb Wald
Latitude:	48.4456961992
Longitude:	9.4151647193

87. plot:	AEW36
category:	Schwäbische Alb Wald
Latitude:	48.3804016572
Longitude:	9.2230702498

88. plot:	AEW37
category:	Schwäbische Alb Wald
Latitude:	48.392098933
Longitude:	9.4391681555

89. plot:	AEW38
category:	Schwäbische Alb Wald
Latitude:	48.3829918802
Longitude:	9.4454349383

90. plot:	AEW39
category:	Schwäbische Alb Wald
Latitude:	48.3757882361
Longitude:	9.2365486248

91. plot:	AEW40
category:	Schwäbische Alb Wald
Latitude:	48.499602234
Longitude:	9.3494366049

92. plot:	AEW41
category:	Schwäbische Alb Wald
Latitude:	48.3644121378
Longitude:	9.4041380519

93. plot:	AEW42
category:	Schwäbische Alb Wald
Latitude:	48.3960932296
Longitude:	9.4527065741

94. plot:	AEW43
category:	Schwäbische Alb Wald
Latitude:	48.3790957789
Longitude:	9.3783084379

95. plot:	AEW44
category:	Schwäbische Alb Wald
Latitude:	48.3857074703
Longitude:	9.223093501

96. plot:	AEW45
category:	Schwäbische Alb Wald
Latitude:	48.3892368857
Longitude:	9.5012535366

97. plot:	AEW46
category:	Schwäbische Alb Wald
Latitude:	48.3862612052
Longitude:	9.3593246896

98. plot:	AEW47
category:	Schwäbische Alb Wald
Latitude:	48.4167020413
Longitude:	9.4079033192

99. plot:	AEW48
category:	Schwäbische Alb Wald
Latitude:	48.388458367
Longitude:	9.4727567005

100. plot:	AEW49
category:	Schwäbische Alb Wald
Latitude:	48.4453687526
Longitude:	9.4763942883

101. plot:	AEW50
category:	Schwäbische Alb Wald
Latitude:	48.3921171677
Longitude:	9.2544483408

102. plot:	HEG01
category:	Hainich-Dün Grünland
Latitude:	50.9716483376
Longitude:	10.4053629104

103. plot:	HEG02
category:	Hainich-Dün Grünland
Latitude:	51.0007489248
Longitude:	10.4300100103

104. plot:	HEG03
category:	Hainich-Dün Grünland
Latitude:	50.9980914934
Longitude:	10.4329488763

105. plot:	HEG04
category:	Hainich-Dün Grünland
Latitude:	51.113362352
Longitude:	10.4361803786

106. plot:	HEG05
category:	Hainich-Dün Grünland
Latitude:	51.2158944134
Longitude:	10.322526719

107. plot:	HEG06
category:	Hainich-Dün Grünland
Latitude:	51.2149350553
Longitude:	10.3912208733

108. plot:	HEG07
category:	Hainich-Dün Grünland
Latitude:	51.2735825557
Longitude:	10.4104125695

109. plot:	HEG08
category:	Hainich-Dün Grünland
Latitude:	51.2712574671
Longitude:	10.4179445812

110. plot:	HEG09
category:	Hainich-Dün Grünland
Latitude:	51.2238973736
Longitude:	10.3807872979

111. plot:	HEG10
category:	Hainich-Dün Grünland
Latitude:	51.2751490188
Longitude:	10.4467607106

112. plot:	HEG11
category:	Hainich-Dün Grünland
Latitude:	51.2806670523
Longitude:	10.4561779278

113. plot:	HEG12
category:	Hainich-Dün Grünland
Latitude:	51.0772200104
Longitude:	10.5758197075

114. plot:	HEG13
category:	Hainich-Dün Grünland
Latitude:	51.2596811245
Longitude:	10.3799460956

115. plot:	HEG14
category:	Hainich-Dün Grünland
Latitude:	51.2940601984
Longitude:	10.4357998366

116. plot:	HEG15
category:	Hainich-Dün Grünland
Latitude:	51.0680130317
Longitude:	10.4862323114

117. plot:	HEG16
category:	Hainich-Dün Grünland
Latitude:	51.0334951155
Longitude:	10.4588433406

118. plot:	HEG17
category:	Hainich-Dün Grünland
Latitude:	51.070504549
Longitude:	10.4704560664

119. plot:	HEG18
category:	Hainich-Dün Grünland
Latitude:	51.2836635589
Longitude:	10.4246855814

120. plot:	HEG19
category:	Hainich-Dün Grünland
Latitude:	51.0732375079
Longitude:	10.4732197941

121. plot:	HEG20
category:	Hainich-Dün Grünland
Latitude:	51.2210645074
Longitude:	10.370980806

122. plot:	HEG21
category:	Hainich-Dün Grünland
Latitude:	51.1907043424
Longitude:	10.7525686959

123. plot:	HEG22
category:	Hainich-Dün Grünland
Latitude:	51.0307536694
Longitude:	10.3249271584

124. plot:	HEG23
category:	Hainich-Dün Grünland
Latitude:	51.1343049651
Longitude:	10.3381864542

125. plot:	HEG24
category:	Hainich-Dün Grünland
Latitude:	51.101066362
Longitude:	10.3512145548

126. plot:	HEG25
category:	Hainich-Dün Grünland
Latitude:	51.0233900146
Longitude:	10.322341733

127. plot:	HEG26
category:	Hainich-Dün Grünland
Latitude:	51.281500899
Longitude:	10.3717252509

128. plot:	HEG27
category:	Hainich-Dün Grünland
Latitude:	51.0864472749
Longitude:	10.5969886442

129. plot:	HEG28
category:	Hainich-Dün Grünland
Latitude:	51.265906526
Longitude:	10.4969215328

130. plot:	HEG29
category:	Hainich-Dün Grünland
Latitude:	51.2641100338
Longitude:	10.4984272508

131. plot:	HEG30
category:	Hainich-Dün Grünland
Latitude:	51.2018524729
Longitude:	10.3599108538

132. plot:	HEG31
category:	Hainich-Dün Grünland
Latitude:	51.1703585041
Longitude:	10.2211956781

133. plot:	HEG32
category:	Hainich-Dün Grünland
Latitude:	51.075510637
Longitude:	10.5676100811

134. plot:	HEG33
category:	Hainich-Dün Grünland
Latitude:	51.1114363932
Longitude:	10.4259631657

135. plot:	HEG34
category:	Hainich-Dün Grünland
Latitude:	51.2142917637
Longitude:	10.3869351606

136. plot:	HEG35
category:	Hainich-Dün Grünland
Latitude:	51.219827364
Longitude:	10.4111191881

137. plot:	HEG36
category:	Hainich-Dün Grünland
Latitude:	51.0314465615
Longitude:	10.510233429

138. plot:	HEG37
category:	Hainich-Dün Grünland
Latitude:	51.032390748
Longitude:	10.5144943419

139. plot:	HEG38
category:	Hainich-Dün Grünland
Latitude:	51.1162026908
Longitude:	10.3415352077

140. plot:	HEG39
category:	Hainich-Dün Grünland
Latitude:	51.1202248042
Longitude:	10.3462476695

141. plot:	HEG40
category:	Hainich-Dün Grünland
Latitude:	50.9668129807
Longitude:	10.4468140957

142. plot:	HEG41
category:	Hainich-Dün Grünland
Latitude:	51.221025855
Longitude:	10.3669167564

143. plot:	HEG42
category:	Hainich-Dün Grünland
Latitude:	51.0694413682
Longitude:	10.4647839624

144. plot:	HEG43
category:	Hainich-Dün Grünland
Latitude:	51.3019709052
Longitude:	10.4358178074

145. plot:	HEG44
category:	Hainich-Dün Grünland
Latitude:	51.0551983135
Longitude:	10.4796324688

146. plot:	HEG45
category:	Hainich-Dün Grünland
Latitude:	51.0395333994
